screening_id,keeper_key,ai_initial_priority,ai_suggested_role,ai_priority_reason,title,year,publication,category,doi,has_pdf,pdf_path,collections,title_screen_decision_include_maybe_exclude,title_screen_reason_manual,abstract_screen_decision_include_maybe_exclude,abstract_population_manual,abstract_modality_manual,abstract_ai_method_manual,abstract_outcome_manual,full_text_screen_decision_include_maybe_exclude,full_text_sample_manual,full_text_dataset_source_manual,full_text_study_design_manual,full_text_model_metrics_manual,full_text_limitations_manual,quality_signal_strong_moderate_weak_manual,final_use_role_core_background_gap_future_exclude_manual,reviewer_notes_manual
P011,KMH2LMXK,High,core_speech_language_evidence,speech/audio/language modality matches project core,Vocal markers of autism: Assessing the generalizability of machine learning models,2022,Autism Research,Speech / Audio; General AI / ML Prediction,10.1002/aur.2721,yes,/Users/porschecaa/Zotero/storage/IX6VBLRP/Vocal markers of autism - Assessing the generalizability of machine learning models.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,Directly supports the project gap on external validation and task/corpus shift.,include,Generalizability of vocal markers of autism,Shows performance can vary sharply across speech tasks/datasets; F1 ranges reported around 0.59-0.89 depending on generalization setting.,,Generalizability stress-test rather than deployment validation.,include,Shows performance can vary sharply across speech tasks/datasets; F1 ranges reported around 0.59-0.89 depending on generalization setting.,,Generalizability of vocal markers of autism,Shows performance can vary sharply across speech tasks/datasets; F1 ranges reported around 0.59-0.89 depending on generalization setting.,Generalizability stress-test rather than deployment validation.,Strong,core,Directly supports the project gap on external validation and task/corpus shift.
P012,M42AHCBX,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Early Diagnosis of Autism Spectrum Disorder: A Review and Analysis of the Risks and Benefits,2023,Cureus,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education,10.7759/cureus.43226,yes,/Users/porschecaa/Zotero/storage/94LRJZCT/Early Diagnosis of Autism Spectrum Disorder - A Review and Analysis of the Risks and Benefits.pdf,07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P013,J5QRFCSF,High,core_speech_language_evidence,speech/audio/language modality matches project core,Employing Classification Techniques on SmartSpeech Biometric Data towards Identification of Neurodevelopmental Disorders,2023,Signals,Speech / Audio; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/signals4020021,yes,/Users/porschecaa/Downloads/Employing Classification Techniques on SmartSpeech Biometric Data towards Identification of Neurodevelopmental Disorders.pdf,01_Speech_Audio; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,maybe,SmartSpeech/neurodevelopmental classification; less ASD-specific and generated matrix overstated its model details.,maybe,,,,,maybe,,,,,,Not_appraised,reserve_candidate,SmartSpeech/neurodevelopmental classification; less ASD-specific and generated matrix overstated its model details.
P014,FTANMDLY,High,core_speech_language_evidence,speech/audio/language modality matches project core; review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Role of Artificial Intelligence for Autism Diagnosis Using DTI and fMRI: A Survey,2023,Biomedicines,Review / Survey; Speech / Audio; Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; General AI / ML Prediction,10.3390/biomedicines11071858,yes,/Users/porschecaa/Downloads/Role of Artificial Intelligence for Autism Diagnosis Using DTI and fMRI - A Survey.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P015,MNRUWLUM,High,core_speech_language_evidence,speech/audio/language modality matches project core,Speech and Language in Children with Autism Spectrum Disorders,2023,Siriraj Medical Bulletin,Speech / Audio,,yes,/Users/porschecaa/Zotero/storage/89LXYVD4/Speech and Language in Children with Autism Spectrum Disorders.pdf,09_Thai_Local_Context,include,Useful for SLP framing in Thai language.,include,"Speech and language profile in children with ASD, Thai clinical background",Thai clinical review/background on ASD speech-language difficulties and need for early speech-language support.,,Narrative/background source; no AI model or validation metric.,include,Thai clinical review/background on ASD speech-language difficulties and need for early speech-language support.,,"Speech and language profile in children with ASD, Thai clinical background",Thai clinical review/background on ASD speech-language difficulties and need for early speech-language support.,Narrative/background source; no AI model or validation metric.,Moderate,background_local,Useful for SLP framing in Thai language.
P016,G8VSSXXB,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Autism Detection in Children: Integrating Machine Learning and Natural Language Processing in Narrative Analysis,2024,Behavioral Sciences,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/bs14060459,yes,/Users/porschecaa/Downloads/Autism Detection in Children - Integrating Machine Learning and Natural Language Processing in Narrative Analysis.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,include,Directly supports transcript/NLP branch and transcription bottleneck.,include,NLP narrative analysis in children,Narrative-transcript ML/NLP study; reported high performance around 96% in the prior matrix; sample described as 68 ASD and 52 TD.,,Language-specific narrative transcripts and no clear cross-site external validation.,include,Narrative-transcript ML/NLP study; reported high performance around 96% in the prior matrix; sample described as 68 ASD and 52 TD.,,NLP narrative analysis in children,Narrative-transcript ML/NLP study; reported high performance around 96% in the prior matrix; sample described as 68 ASD and 52 TD.,Language-specific narrative transcripts and no clear cross-site external validation.,Moderate,core,Directly supports transcript/NLP branch and transcription bottleneck.
P017,H7DB7I5I,High,core_speech_language_evidence,speech/audio/language modality matches project core; review/synthesis paper useful for background and gap framing,Can Natural Speech Prosody Distinguish Autism Spectrum Disorders? A Meta-Analysis,2024,Behavioral Sciences,Review / Survey; Speech / Audio,10.3390/bs14020090,yes,/Users/porschecaa/Zotero/storage/Z89HDTH4/Can Natural Speech Prosody Distinguish Autism Spectrum Disorders A Meta-Analysis.pdf,00_All_ASD_AI_Literature; 07_Review_Papers,include,Strongest synthesis for acoustic/prosody rationale.,include,Natural speech prosody meta-analysis,"Meta-analysis of natural-speech prosody studies; supports pitch, prosody, and speech-rate markers as evidence class.",,Heterogeneous feature extraction and tasks; meta-analysis does not validate this project directly.,include,"Meta-analysis of natural-speech prosody studies; supports pitch, prosody, and speech-rate markers as evidence class.",,Natural speech prosody meta-analysis,"Meta-analysis of natural-speech prosody studies; supports pitch, prosody, and speech-rate markers as evidence class.",Heterogeneous feature extraction and tasks; meta-analysis does not validate this project directly.,Strong,core,Strongest synthesis for acoustic/prosody rationale.
P018,AEDDAD3D,High,core_speech_language_evidence,speech/audio/language modality matches project core,Detecting Autism Spectrum Disorder from Raw Speech in Children using STFT Layered CNN Model,2024,IEEE Conference Publication,Speech / Audio,,yes,/Users/porschecaa/Downloads/Detecting Autism Spectrum Disorder from Raw Speech in Children using STFT Layered CNN Model.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,Supports raw-speech direction but not strong evidence.,include,Raw child speech with STFT-layered CNN,Introduces CASD-SC child speech corpus; each child produced 36 recordings; log-spectrogram CNN reports about 86.6% accuracy.,,"Conference paper, small/controlled corpus, no external clinical validation.",include,Introduces CASD-SC child speech corpus; each child produced 36 recordings; log-spectrogram CNN reports about 86.6% accuracy.,,Raw child speech with STFT-layered CNN,Introduces CASD-SC child speech corpus; each child produced 36 recordings; log-spectrogram CNN reports about 86.6% accuracy.,"Conference paper, small/controlled corpus, no external clinical validation.",Weak,core,Supports raw-speech direction but not strong evidence.
P019,8JSNYFWT,High,thai_local_context_evidence,Thai/local clinical context; clinical screening/assessment relevance,Economic Evaluation of the Thai Diagnostic Autism Scale for Autism Spectrum Disorder Diagnosis in Children Aged 1-5 Years Old,2024,Healthcare,Clinical Tools / Screening; Thai / Local Context; General AI / ML Prediction,10.3390/healthcare12070782,yes,/Users/porschecaa/Zotero/storage/PSBAMEEF/Economic Evaluation of the Thai Diagnostic Autism Scale for Autism Spectrum Disorder Diagnosis in Children Aged 1-5 Years Old.pdf,09_Thai_Local_Context,include,"Supports Thai implementation rationale, not AI accuracy.",include,Economic evaluation of TDAS in Thai children aged 1-5 years,Markov/cost-utility study showing TDAS-based screening can be economically favorable in Thai health-system assumptions.,,"Model-based economic evidence, not model-performance evidence.",include,Markov/cost-utility study showing TDAS-based screening can be economically favorable in Thai health-system assumptions.,,Economic evaluation of TDAS in Thai children aged 1-5 years,Markov/cost-utility study showing TDAS-based screening can be economically favorable in Thai health-system assumptions.,"Model-based economic evidence, not model-performance evidence.",Moderate,background_local,"Supports Thai implementation rationale, not AI accuracy."
P020,UHJYGRNU,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance,Enhancing ASD detection accuracy: a combined approach of machine learning and deep learning models with natural language processing,2024,Health Information Science and Systems,Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1007/s13755-024-00281-y,yes,/Users/porschecaa/Zotero/storage/LP4ZU7ID/Enhancing ASD detection accuracy - a combined approach of machine learning and deep learning models with natural language processing.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,maybe,Relevant NLP/ML paper; can be added if the review needs a larger NLP-method comparison.,maybe,,,,,maybe,,,,,,Not_appraised,reserve_candidate,Relevant NLP/ML paper; can be added if the review needs a larger NLP-method comparison.
P021,W56CBL28,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Using Machine Learning for Motion Analysis to Early Detect Autism Spectrum Disorder: A Systematic Review,2024,Review Journal of Autism and Developmental Disorders,Review / Survey; Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; General AI / ML Prediction,10.1007/s40489-024-00435-4,yes,/Users/porschecaa/Zotero/storage/J8RTMPI4/Using Machine Learning for Motion Analysis to Early Detect Autism Spectrum Disorder - A Systematic Review.pdf,06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P022,GGSJNPIS,High,core_speech_language_evidence,speech/audio/language modality matches project core; review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,A Scoping Review of AI-Based Approaches for Detecting Autism Traits Using Voice and Behavioral Data,2025,Bioengineering,Review / Survey; Speech / Audio; Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/bioengineering12111136,yes,/Users/porschecaa/Downloads/A Scoping Review of AI-Based Approaches for Detecting Autism Traits Using Voice and Behavioral Data.pdf,05_Multimodal_AI; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy; 07_Review_Papers,include,Supports dataset diversity and bias gap.,include,Scoping review of voice and behavioral AI,Maps voice/behavioral computational phenotyping and discusses dataset/bias issues.,,Review-level evidence; not a direct validation of a model.,include,Maps voice/behavioral computational phenotyping and discusses dataset/bias issues.,,Scoping review of voice and behavioral AI,Maps voice/behavioral computational phenotyping and discusses dataset/bias issues.,Review-level evidence; not a direct validation of a model.,Moderate,background_review,Supports dataset diversity and bias gap.
P023,TXMX9XGX,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; less central modality for current speech/language project,AI-Enabled Technologies and Biomarker Analysis for the Early Identification of Autism and Related Neurodevelopmental Disorders,2025,Children,Review / Survey; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/children12121670,yes,/Users/porschecaa/Downloads/AI-Enabled Technologies and Biomarker Analysis for the Early Identification of Autism and Related Neurodevelopmental Disorders.pdf,01_Speech_Audio; 05_Multimodal_AI; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,include,Frames broader biomarker context without over-weighting.,include,AI-enabled technologies and biomarkers for early ASD identification,Broad review of AI/biomarkers across modalities.,,Too broad for speech/NLP claims; use as background only.,include,Broad review of AI/biomarkers across modalities.,,AI-enabled technologies and biomarkers for early ASD identification,Broad review of AI/biomarkers across modalities.,Too broad for speech/NLP claims; use as background only.,Moderate,background_review,Frames broader biomarker context without over-weighting.
P024,S4U9D4MJ,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,"AI-assisted early screening, diagnosis, and intervention for autism in young children",2025,Frontiers in Psychiatry,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3389/fpsyt.2025.1513809,yes,"/Users/porschecaa/Zotero/storage/ALANTVXK/AI-assisted early screening, diagnosis, and intervention for autism in young children.pdf",07_Review_Papers; 00_All_ASD_AI_Literature,include,Provides current early-childhood AI screening overview while core claims rely on more specific speech/transcript papers.,include,"AI-assisted early screening, diagnosis, and intervention in young children","Review of AI-assisted early screening/diagnosis/intervention methods for infants, toddlers, and preschoolers; useful for broad framing.",,Broad review and not speech/NLP-specific enough to be a core project evidence source.,include,"Review of AI-assisted early screening/diagnosis/intervention methods for infants, toddlers, and preschoolers; useful for broad framing.",,"AI-assisted early screening, diagnosis, and intervention in young children","Review of AI-assisted early screening/diagnosis/intervention methods for infants, toddlers, and preschoolers; useful for broad framing.",Broad review and not speech/NLP-specific enough to be a core project evidence source.,Moderate,background_review,Provides current early-childhood AI screening overview while core claims rely on more specific speech/transcript papers.
P025,K94FXAC9,High,core_speech_language_evidence,speech/audio/language modality matches project core; review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,"Artificial Intelligence in Autism Spectrum Disorder Diagnosis: A Scoping Review of Face, Voice, and Text Analysis Methods",2025,Health Science Reports,Review / Survey; Speech / Audio; Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1002/hsr2.71476,yes,"/Users/porschecaa/Zotero/storage/R2QCYQTJ/Artificial Intelligence in Autism Spectrum Disorder Diagnosis - A Scoping Review of Face, Voice, and Text Analysis Methods.pdf",07_Review_Papers; 00_All_ASD_AI_Literature,include,Good overview for multimodal landscape and modality limitations.,include,"Scoping review of face, voice, and text AI for ASD","Maps AI approaches across face, voice, and text analysis methods.",,Scoping review; broad modality mix and depends on quality of included studies.,include,"Maps AI approaches across face, voice, and text analysis methods.",,"Scoping review of face, voice, and text AI for ASD","Maps AI approaches across face, voice, and text analysis methods.",Scoping review; broad modality mix and depends on quality of included studies.,Moderate,background_review,Good overview for multimodal landscape and modality limitations.
P026,I3ETMNE9,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Artificial intelligence for tracking social behaviours and supporting an autism spectrum disorder diagnosis: systematic review and meta-analysis,2025,eBioMedicine,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1016/j.ebiom.2025.105931,yes,/Users/porschecaa/Zotero/storage/MF88KRW9/Artificial intelligence for tracking social behaviours and supporting an autism spectrum disorder diagnosis - systematic review and meta-analysis.pdf,06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P027,3XRPUIX4,High,core_speech_language_evidence,speech/audio/language modality matches project core; less central modality for current speech/language project,Envisioning the Future of Machine Learning in the Early Detection of Neurodevelopmental and Neurodegenerative Disorders via Speech and Language Biomarkers,2025,Acoustics,Speech / Audio; Neuroimaging / EEG / Biomarkers; General AI / ML Prediction,10.3390/acoustics7040072,yes,/Users/porschecaa/Downloads/Envisioning the Future of Machine Learning in the Early Detection of Neurodevelopmental and Neurodegenerative Disorders via Speech and Language Biomarkers.pdf,01_Speech_Audio; 05_Multimodal_AI; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P028,YXPW47C5,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Implementation of generative AI for the assessment and treatment of autism spectrum disorders: a scoping review,2025,Frontiers in Psychiatry,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3389/fpsyt.2025.1628216,yes,/Users/porschecaa/Zotero/storage/YK2QPMNP/Implementation of generative AI for the assessment and treatment of autism spectrum disorders - a scoping review.pdf,05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
